Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Sales Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Sales Invoice,,,,,,,,,,,,~,Sales Invoice Item,items,,,,,,,,,,~,~,~,~,Sales Taxes and Charges,taxes,,~,~,Payment Schedule,payment_schedule,~,Sales Invoice Payment,payments,~,Sales Team,sales_team
Column Labels:,Series,Company,Date,Currency,Exchange Rate,Price List,Price List Currency,Price List Exchange Rate,Net Total (Company Currency),Grand Total (Company Currency),Grand Total,Debit To,,Item Name,Description,UOM,UOM Conversion Factor,Rate,Amount,Rate (Company Currency),Amount (Company Currency),Income Account,Cost Center,Quantity,,,,,Type,Account Head,Description,,,Due Date,Payment Amount,,Mode of Payment,Amount,,Sales Person,
Column Name:,naming_series,company,posting_date,currency,conversion_rate,selling_price_list,price_list_currency,plc_conversion_rate,base_net_total,base_grand_total,grand_total,debit_to,~,item_name,description,uom,conversion_factor,rate,amount,base_rate,base_amount,income_account,cost_center,qty,~,~,~,~,charge_type,account_head,description,~,~,due_date,payment_amount,~,mode_of_payment,amount,~,sales_person,~
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,Yes,
Type:,Select,Link,Date,Link,Float,Link,Link,Float,Currency,Currency,Currency,Link,,Data,Text Editor,Link,Float,Currency,Currency,Currency,Currency,Link,Link,Float,,,,,Select,Link,Small Text,,,Date,Currency,,Link,Currency,,Link,
Info:,One of: ACC-SINV-.YYYY.-,Valid Company,dd-mm-yyyy,Valid Currency,,Valid Price List,Valid Currency,,,,,Valid Account,,,,Valid UOM,,,,,,Valid Account,Valid Cost Center,,,,,,"One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity",Valid Account,,,,dd-mm-yyyy,,,Valid Mode of Payment,,,Valid Sales Person,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,201244,Shahico Services,1/13/2016,,1,Standard Selling,BHD,1,10,10,10,Debtors - SHCO,,Formation,CD,NOS,1,10,10,10,10,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,1/13/2016,10,,10,10,,,
,204500,Shahico Services,2/19/2019,,1,Standard Selling,BHD,1,25,25,25,Debtors - SHCO,,Formation,CD,NOS,1,25,25,25,25,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,2/19/2019,25,,25,25,,,
,202506,Shahico Services,3/9/2017,,1,Standard Selling,BHD,1,4847,4847,4847,Debtors - SHCO,,Formation,CD,NOS,1,4847,4847,4847,4847,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/9/2017,4847,,4847,4847,,,
,202564,Shahico Services,3/27/2017,,1,Standard Selling,BHD,1,600,600,600,Debtors - SHCO,,Formation,CD,NOS,1,600,600,600,600,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/27/2017,600,,600,600,,,
,203260,Shahico Services,9/30/2017,,1,Standard Selling,BHD,1,344,344,344,Debtors - SHCO,,Formation,CD,NOS,1,344,344,344,344,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,9/30/2017,344,,344,344,,,
,203261,Shahico Services,9/30/2017,,1,Standard Selling,BHD,1,450,450,450,Debtors - SHCO,,Formation,CD,NOS,1,450,450,450,450,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,9/30/2017,450,,450,450,,,
,203577,Shahico Services,3/14/2018,,1,Standard Selling,BHD,1,450,450,450,Debtors - SHCO,,Formation,CD,NOS,1,450,450,450,450,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/14/2018,450,,450,450,,,
,203634,Shahico Services,4/2/2018,,1,Standard Selling,BHD,1,360,360,360,Debtors - SHCO,,Formation,CD,NOS,1,360,360,360,360,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,4/2/2018,360,,360,360,,,
,204128,Shahico Services,5/31/2018,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,9/9/2018,0,,0,0,,,
,204183,Shahico Services,3/14/2018,,1,Standard Selling,BHD,1,350,350,350,Debtors - SHCO,,Formation,CD,NOS,1,350,350,350,350,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/14/2018,350,,350,350,,,
,204184,Shahico Services,8/31/2018,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,8/31/2018,0,,0,0,,,
,204185,Shahico Services,11/30/2018,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,11/30/2018,0,,0,0,,,
,204498,Shahico Services,2/28/2019,,1,Standard Selling,BHD,1,300,300,300,Debtors - SHCO,,Formation,CD,NOS,1,300,300,300,300,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,2/28/2019,300,,300,300,,,
,204510,Shahico Services,2/25/2019,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,2/25/2019,0,,0,0,,,
,204586,Shahico Services,3/24/2019,,1,Standard Selling,BHD,1,200,200,200,Debtors - SHCO,,Formation,CD,NOS,1,200,200,200,200,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/24/2019,200,,200,200,,,
,204929,Shahico Services,7/14/2019,,1,Standard Selling,BHD,1,250,250,250,Debtors - SHCO,,Formation,CD,NOS,1,250,250,250,250,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,7/14/2019,250,,250,250,,,
,201718,Shahico Services,5/31/2016,,1,Standard Selling,BHD,1,30,30,30,Debtors - SHCO,,Formation,CD,NOS,1,30,30,30,30,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,5/31/2016,30,,30,30,,,
,201720,Shahico Services,6/5/2016,,1,Standard Selling,BHD,1,100,100,100,Debtors - SHCO,,Formation,CD,NOS,1,100,100,100,100,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,6/5/2016,100,,100,100,,,
,204495,Shahico Services,2/18/2019,,1,Standard Selling,BHD,1,10,10,10,Debtors - SHCO,,Formation,CD,NOS,1,10,10,10,10,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,2/18/2019,10,,10,10,,,
,201653,Shahico Services,6/15/2016,,1,Standard Selling,BHD,1,950,950,950,Debtors - SHCO,,Formation,CD,NOS,1,950,950,950,950,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,6/15/2016,950,,950,950,,,
,201878,Shahico Services,8/21/2016,,1,Standard Selling,BHD,1,50,50,50,Debtors - SHCO,,Formation,CD,NOS,1,50,50,50,50,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,8/21/2016,50,,50,50,,,
,201817,Shahico Services,8/2/2016,,1,Standard Selling,BHD,1,12,12,12,Debtors - SHCO,,Formation,CD,NOS,1,12,12,12,12,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,8/1/2016,12,,12,12,,,
,202943,Shahico Services,8/1/2017,,1,Standard Selling,BHD,1,7,7,7,Debtors - SHCO,,Formation,CD,NOS,1,7,7,7,7,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,8/1/2017,7,,7,7,,,
,202944,Shahico Services,8/1/2017,,1,Standard Selling,BHD,1,3,3,3,Debtors - SHCO,,Formation,CD,NOS,1,3,3,3,3,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,8/1/2017,3,,3,3,,,
,203337,Shahico Services,1/3/2018,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,1/3/2018,0,,0,0,,,
,205004,Shahico Services,7/30/2019,,1,Standard Selling,BHD,1,280,280,280,Debtors - SHCO,,Formation,CD,NOS,1,280,280,280,280,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,7/31/2019,280,,280,280,,,
,204964,Shahico Services,7/21/2019,,1,Standard Selling,BHD,1,10,10,10,Debtors - SHCO,,Formation,CD,NOS,1,10,10,10,10,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,7/21/2019,10,,10,10,,,
,201154,Shahico Services,12/15/2015,,1,Standard Selling,BHD,1,200,200,200,Debtors - SHCO,,Formation,CD,NOS,1,200,200,200,200,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,12/15/2015,200,,200,200,,,
,204140,Shahico Services,9/13/2018,,1,Standard Selling,BHD,1,300,300,300,Debtors - SHCO,,Formation,CD,NOS,1,300,300,300,300,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,9/13/2018,300,,300,300,,,
,201157,Shahico Services,12/15/2015,,1,Standard Selling,BHD,1,172,172,172,Debtors - SHCO,,Formation,CD,NOS,1,172,172,172,172,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,12/15/2015,172,,172,172,,,
,201269,Shahico Services,1/24/2016,,1,Standard Selling,BHD,1,0,0,0,Debtors - SHCO,,Formation,CD,NOS,1,0,0,0,0,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,1/24/2016,0,,0,0,,,
,202793,Shahico Services,6/22/2017,,1,Standard Selling,BHD,1,200,200,200,Debtors - SHCO,,Formation,CD,NOS,1,200,200,200,200,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,6/22/2017,200,,200,200,,,
,202834,Shahico Services,7/3/2017,,1,Standard Selling,BHD,1,200,200,200,Debtors - SHCO,,Formation,CD,NOS,1,200,200,200,200,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,7/3/2017,200,,200,200,,,
,202835,Shahico Services,7/3/2017,,1,Standard Selling,BHD,1,200,200,200,Debtors - SHCO,,Formation,CD,NOS,1,200,200,200,200,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,7/3/2017,200,,200,200,,,
,203569,Shahico Services,3/14/2018,,1,Standard Selling,BHD,1,10,10,10,Debtors - SHCO,,Formation,CD,NOS,1,10,10,10,10,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/14/2018,10,,10,10,,,
,204291,Shahico Services,11/29/2018,,1,Standard Selling,BHD,1,1,1,1,Debtors - SHCO,,Formation,CD,NOS,1,1,1,1,1,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,11/29/2018,1,,1,1,,,
,204336,Shahico Services,12/26/2018,,1,Standard Selling,BHD,1,300,300,300,Debtors - SHCO,,Formation,CD,NOS,1,300,300,300,300,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,12/26/2018,300,,300,300,,,
,203832,Shahico Services,6/7/2018,,1,Standard Selling,BHD,1,150,150,150,Debtors - SHCO,,Formation,CD,NOS,1,150,150,150,150,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,6/7/2018,150,,150,150,,,
,201745,Shahico Services,10/29/2015,,1,Standard Selling,BHD,1,500,500,500,Debtors - SHCO,,Formation,CD,NOS,1,500,500,500,500,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,10/29/2015,500,,500,500,,,
,202572,Shahico Services,3/29/2017,,1,Standard Selling,BHD,1,130,130,130,Debtors - SHCO,,Formation,CD,NOS,1,130,130,130,130,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,3/29/2017,130,,130,130,,,
,203852,Shahico Services,6/12/2018,,1,Standard Selling,BHD,1,180,180,180,Debtors - SHCO,,Formation,CD,NOS,1,180,180,180,180,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,6/12/2018,180,,180,180,,,
,202120,Shahico Services,11/6/2016,,1,Standard Selling,BHD,1,20,20,20,Debtors - SHCO,,Formation,CD,NOS,1,20,20,20,20,Income - SHCO,SHAHICO SERVICES - SHCO,1,,,,,,,,,,11/6/2016,20,,20,20,,,
