"Data Import Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table:","Sales Invoice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DocType:","Sales Invoice","","","","","","","","","","","","~","Sales Invoice Item","items","","","","","","","","","","~","~","~","~","Sales Taxes and Charges","taxes","","~","~","Payment Schedule","payment_schedule","~","Sales Invoice Payment","payments","~","Sales Team","sales_team"
"Column Labels:","Series","Company","Date","Currency","Exchange Rate","Price List","Price List Currency","Price List Exchange Rate","Net Total (Company Currency)","Grand Total (Company Currency)","Grand Total","Debit To","","Item Name","Description","UOM","UOM Conversion Factor","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Income Account","Cost Center","Quantity","","","","","Type","Account Head","Description","","","Due Date","Payment Amount","","Mode of Payment","Amount","","Sales Person",""
"Column Name:","naming_series","company","posting_date","currency","conversion_rate","selling_price_list","price_list_currency","plc_conversion_rate","base_net_total","base_grand_total","grand_total","debit_to","~","item_name","description","uom","conversion_factor","rate","amount","base_rate","base_amount","income_account","cost_center","qty","~","~","~","~","charge_type","account_head","description","~","~","due_date","payment_amount","~","mode_of_payment","amount","~","sales_person","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes",""
"Type:","Select","Link","Date","Link","Float","Link","Link","Float","Currency","Currency","Currency","Link","","Data","Text Editor","Link","Float","Currency","Currency","Currency","Currency","Link","Link","Float","","","","","Select","Link","Small Text","","","Date","Currency","","Link","Currency","","Link",""
"Info:","One of: ACC-SINV-.YYYY.-","Valid Company","dd-mm-yyyy","Valid Currency","","Valid Price List","Valid Currency","","","","","Valid Account","","","","Valid UOM","","","","","","Valid Account","Valid Cost Center","","","","","","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity","Valid Account","","","","dd-mm-yyyy","","","Valid Mode of Payment","","","Valid Sales Person",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","201817","Shahico Services","8/2/2016","","1","Standard Selling","BHD","1","12","12","12","Debtors - SHCO","","Formation","CD","NOS","1","12","12","12","12","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","8/1/2016","12","","12","12","","",""
"","203469","Shahico Services","2/21/2018","","1","Standard Selling","BHD","1","5","5","5","Debtors - SHCO","","Formation","CD","NOS","1","5","5","5","5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/20/2018","5","","5","5","","",""
"","201186","Shahico Services","12/24/2015","","1","Standard Selling","BHD","1","37.5","37.5","37.5","Debtors - SHCO","","Formation","CD","NOS","1","37.5","37.5","37.5","37.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","12/24/2015","37.5","","37.5","37.5","","",""
"","201187","Shahico Services","12/24/2015","","1","Standard Selling","BHD","1","37.5","37.5","37.5","Debtors - SHCO","","Formation","CD","NOS","1","37.5","37.5","37.5","37.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","12/24/2015","37.5","","37.5","37.5","","",""
"","201744","Shahico Services","10/28/2015","","1","Standard Selling","BHD","1","15","15","15","Debtors - SHCO","","Formation","CD","NOS","1","15","15","15","15","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","10/27/2015","15","","15","15","","",""
"","201321","Shahico Services","2/23/2016","","1","Standard Selling","BHD","1","120","120","120","Debtors - SHCO","","Formation","CD","NOS","1","120","120","120","120","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/14/2016","120","","120","120","","",""
"","203727","Shahico Services","5/8/2018","","1","Standard Selling","BHD","1","175","175","175","Debtors - SHCO","","Formation","CD","NOS","1","175","175","175","175","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","5/7/2018","175","","175","175","","",""
"","203735","Shahico Services","5/8/2018","","1","Standard Selling","BHD","1","750","750","750","Debtors - SHCO","","Formation","CD","NOS","1","750","750","750","750","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","5/7/2018","750","","750","750","","",""
"","203468","Shahico Services","2/21/2018","","1","Standard Selling","BHD","1","10","10","10","Debtors - SHCO","","Formation","CD","NOS","1","10","10","10","10","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/20/2018","10","","10","10","","",""
"","202092","Shahico Services","10/27/2016","","1","Standard Selling","BHD","1","120","120","120","Debtors - SHCO","","Formation","CD","NOS","1","120","120","120","120","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","10/26/2016","120","","120","120","","",""
"","203466","Shahico Services","2/21/2018","","1","Standard Selling","BHD","1","100","100","100","Debtors - SHCO","","Formation","CD","NOS","1","100","100","100","100","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/20/2018","100","","100","100","","",""
"","203467","Shahico Services","2/21/2018","","1","Standard Selling","BHD","1","50","50","50","Debtors - SHCO","","Formation","CD","NOS","1","50","50","50","50","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/20/2018","50","","50","50","","",""
"","203488","Shahico Services","2/25/2018","","1","Standard Selling","BHD","1","10","10","10","Debtors - SHCO","","Formation","CD","NOS","1","10","10","10","10","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","2/24/2018","10","","10","10","","",""
"","203100","Shahico Services","9/12/2017","","1","Standard Selling","BHD","1","20","20","20","Debtors - SHCO","","Formation","CD","NOS","1","20","20","20","20","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","9/14/2017","20","","20","20","","",""
