"Data Import Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table:","Sales Invoice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DocType:","Sales Invoice","","","","","","","","","","","","~","Sales Invoice Item","items","","","","","","","","","","~","~","~","~","Sales Taxes and Charges","taxes","","~","~","Payment Schedule","payment_schedule","~","Sales Invoice Payment","payments","~","Sales Team","sales_team"
"Column Labels:","Series","Company","Date","Currency","Exchange Rate","Price List","Price List Currency","Price List Exchange Rate","Net Total (Company Currency)","Grand Total (Company Currency)","Grand Total","Debit To","","Item Name","Description","UOM","UOM Conversion Factor","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Income Account","Cost Center","Quantity","","","","","Type","Account Head","Description","","","Due Date","Payment Amount","","Mode of Payment","Amount","","Sales Person",""
"Column Name:","naming_series","company","posting_date","currency","conversion_rate","selling_price_list","price_list_currency","plc_conversion_rate","base_net_total","base_grand_total","grand_total","debit_to","~","item_name","description","uom","conversion_factor","rate","amount","base_rate","base_amount","income_account","cost_center","qty","~","~","~","~","charge_type","account_head","description","~","~","due_date","payment_amount","~","mode_of_payment","amount","~","sales_person","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes",""
"Type:","Select","Link","Date","Link","Float","Link","Link","Float","Currency","Currency","Currency","Link","","Data","Text Editor","Link","Float","Currency","Currency","Currency","Currency","Link","Link","Float","","","","","Select","Link","Small Text","","","Date","Currency","","Link","Currency","","Link",""
"Info:","One of: ACC-SINV-.YYYY.-","Valid Company","dd-mm-yyyy","Valid Currency","","Valid Price List","Valid Currency","","","","","Valid Account","","","","Valid UOM","","","","","","Valid Account","Valid Cost Center","","","","","","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity","Valid Account","","","","dd-mm-yyyy","","","Valid Mode of Payment","","","Valid Sales Person",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","203127","Shahico Services","9/17/2017","","1","Standard Selling","BHD","1","21.5","21.5","21.5","Debtors - SHCO","","Formation","CD","NOS","1","21.5","21.5","21.5","21.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","9/17/2017","21.5","","21.5","21.5","","",""
"","202105","Shahico Services","11/1/2016","","1","Standard Selling","BHD","1","226.6","226.6","226.6","Debtors - SHCO","","Formation","CD","NOS","1","226.6","226.6","226.6","226.6","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","11/1/2016","226.6","","226.6","226.6","","",""
"","20032","Shahico Services","8/16/2015","","1","Standard Selling","BHD","1","37.5","37.5","37.5","Debtors - SHCO","","Formation","CD","NOS","1","37.5","37.5","37.5","37.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","8/16/2015","37.5","","37.5","37.5","","",""
"","20153","Shahico Services","10/17/2015","","1","Standard Selling","BHD","1","76.5","76.5","76.5","Debtors - SHCO","","Formation","CD","NOS","1","76.5","76.5","76.5","76.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","10/17/2015","76.5","","76.5","76.5","","",""
"","20155","Shahico Services","10/17/2015","","1","Standard Selling","BHD","1","4.5","4.5","4.5","Debtors - SHCO","","Formation","CD","NOS","1","4.5","4.5","4.5","4.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","10/17/2015","4.5","","4.5","4.5","","",""
"","20053","Shahico Services","8/24/2015","","1","Standard Selling","BHD","1","36.5","36.5","36.5","Debtors - SHCO","","Formation","CD","NOS","1","36.5","36.5","36.5","36.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","8/24/2015","36.5","","36.5","36.5","","",""
"","204684","Shahico Services","3/24/2019","","1","Standard Selling","BHD","1","2.5","2.5","2.5","Debtors - SHCO","","Formation","CD","NOS","1","2.5","2.5","2.5","2.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","3/24/2019","2.5","","2.5","2.5","","",""
"","204686","Shahico Services","4/16/2019","","1","Standard Selling","BHD","1","7.5","7.5","7.5","Debtors - SHCO","","Formation","CD","NOS","1","7.5","7.5","7.5","7.5","Income - SHCO","SHAHICO SERVICES - SHCO","1","","","","","","","","","","4/16/2019","7.5","","7.5","7.5","","",""
