"Data Import Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table:","Sales Invoice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DocType:","Sales Invoice","","","","","","","","","","","","~","Sales Invoice Item","items","","","","","","","","","~","~","~","~","Sales Taxes and Charges","taxes","","~","~","Payment Schedule","payment_schedule","~","Sales Invoice Payment","payments","~","Sales Team","sales_team"
"Column Labels:","Series","Company","Date","Currency","Exchange Rate","Price List","Price List Currency","Price List Exchange Rate","Net Total (Company Currency)","Grand Total (Company Currency)","Grand Total","Debit To","","Item Name","Description","UOM","UOM Conversion Factor","Rate","Amount","Rate (Company Currency)","Amount (Company Currency)","Income Account","Cost Center","","","","","Type","Account Head","Description","","","Due Date","Payment Amount","","Mode of Payment","Amount","","Sales Person",""
"Column Name:","naming_series","company","posting_date","currency","conversion_rate","selling_price_list","price_list_currency","plc_conversion_rate","base_net_total","base_grand_total","grand_total","debit_to","~","item_name","description","uom","conversion_factor","rate","amount","base_rate","base_amount","income_account","cost_center","~","~","~","~","charge_type","account_head","description","~","~","due_date","payment_amount","~","mode_of_payment","amount","~","sales_person","~"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","","Yes",""
"Type:","Select","Link","Date","Link","Float","Link","Link","Float","Currency","Currency","Currency","Link","","Data","Text Editor","Link","Float","Currency","Currency","Currency","Currency","Link","Link","","","","","Select","Link","Small Text","","","Date","Currency","","Link","Currency","","Link",""
"Info:","One of: ACC-SINV-.YYYY.-","Valid Company","dd-mm-yyyy","Valid Currency","","Valid Price List","Valid Currency","","","","","Valid Account","","","","Valid UOM","","","","","","Valid Account","Valid Cost Center","","","","","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total, On Item Quantity","Valid Account","","","","dd-mm-yyyy","","","Valid Mode of Payment","","","Valid Sales Person",""
"Start entering data below this line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","202197","Shahico Services","29-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-11-2016","300","","","","","",""
"","202245","Shahico Services","20-12-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-12-2016","2107","","","","","",""
"","202496","Shahico Services","28-02-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30-12-2016","5","","","","","",""
"","202761","Shahico Services","16-06-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-06-2017","175","","","","","",""
"","202830","Shahico Services","07-04-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07-04-2017","200","","","","","",""
"","203531","Shahico Services","03-05-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-05-2018","175","","","","","",""
"","203818","Shahico Services","06-03-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06-03-2018","250","","","","","",""
"","203828","Shahico Services","06-06-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06-06-2018","150","","","","","",""
"","204217","Shahico Services","14-10-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14-10-2018","570","","","","","",""
"","204517","Shahico Services","27-02-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-02-2019","120","","","","","",""
"","204628","Shahico Services","04-02-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-02-2019","172","","","","","",""
"","204834","Shahico Services","16-06-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-06-2019","20","","","","","",""
"","204835","Shahico Services","16-06-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-06-2019","50","","","","","",""
"","204989","Shahico Services","28-07-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28-07-2019","10","","","","","",""
"","205045","Shahico Services","24-08-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-08-2019","120","","","","","",""
"","201833","Shahico Services","08-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-09-2016","32","","","","","",""
"","201863","Shahico Services","15-08-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-08-2016","10","","","","","",""
"","201864","Shahico Services","17-08-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-08-2016","35","","","","","",""
"","201888","Shahico Services","25-08-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25-08-2016","20","","","","","",""
"","201943","Shahico Services","09-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","09-10-2016","175","","","","","",""
"","201949","Shahico Services","18-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18-09-2016","20","","","","","",""
"","201981","Shahico Services","26-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26-09-2016","7","","","","","",""
"","201984","Shahico Services","28-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28-09-2016","5","","","","","",""
"","201988","Shahico Services","28-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28-09-2016","5","","","","","",""
"","202021","Shahico Services","10-12-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10-12-2016","165","","","","","",""
"","202040","Shahico Services","13-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13-10-2016","5","","","","","",""
"","202070","Shahico Services","22-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22-10-2016","75","","","","","",""
"","202080","Shahico Services","24-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-10-2016","5","","","","","",""
"","202087","Shahico Services","26-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26-10-2016","7","","","","","",""
"","202094","Shahico Services","27-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-10-2016","3","","","","","",""
"","202095","Shahico Services","27-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-10-2016","3","","","","","",""
"","202096","Shahico Services","27-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-10-2016","3","","","","","",""
"","202114","Shahico Services","11-06-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11-03-2016","3","","","","","",""
"","202116","Shahico Services","11-06-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11-06-2016","3","","","","","",""
"","202134","Shahico Services","11-09-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11-09-2016","10","","","","","",""
"","202162","Shahico Services","17-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-11-2016","3","","","","","",""
"","202182","Shahico Services","23-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-11-2016","165","","","","","",""
"","202193","Shahico Services","28-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28-11-2016","7","","","","","",""
"","202195","Shahico Services","29-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-11-2016","5","","","","","",""
"","202173","Shahico Services","20-11-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30-11-2016","20","","","","","",""
"","202250","Shahico Services","14-12-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14-12-2016","330","","","","","",""
"","202363","Shahico Services","24-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-10-2016","0","","","","","",""
"","202541","Shahico Services","19-03-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19-03-2017","1100","","","","","",""
"","202597","Shahico Services","04-09-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04-09-2017","5","","","","","",""
"","202754","Shahico Services","06-11-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06-11-2017","550","","","","","",""
"","202763","Shahico Services","15-06-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-06-2017","165","","","","","",""
"","202871","Shahico Services","15-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-07-2017","20","","","","","",""
"","202873","Shahico Services","15-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-07-2017","5","","","","","",""
"","202874","Shahico Services","15-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-07-2017","2","","","","","",""
"","202890","Shahico Services","20-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-07-2017","5","","","","","",""
"","202891","Shahico Services","20-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-07-2017","5","","","","","",""
"","202894","Shahico Services","20-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-07-2017","5","","","","","",""
"","202895","Shahico Services","20-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-07-2017","4","","","","","",""
"","202896","Shahico Services","20-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-07-2017","5","","","","","",""
"","202956","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","5","","","","","",""
"","202957","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","4","","","","","",""
"","202958","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","10","","","","","",""
"","202959","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","2","","","","","",""
"","202960","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","2","","","","","",""
"","202961","Shahico Services","08-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","08-08-2017","5","","","","","",""
"","203015","Shahico Services","23-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-08-2017","391","","","","","",""
"","203017","Shahico Services","24-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24-08-2017","20","","","","","",""
"","203058","Shahico Services","31-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31-08-2017","0","","","","","",""
"","203191","Shahico Services","16-10-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-10-2017","100","","","","","",""
"","203245","Shahico Services","11-07-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11-07-2017","5","","","","","",""
"","201152","Shahico Services","15-12-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-12-2015","185","","","","","",""
"","201153","Shahico Services","15-12-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-12-2015","7","","","","","",""
"","201211","Shahico Services","12-02-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12-02-2015","350","","","","","",""
"","201260","Shahico Services","17-01-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-01-2016","500","","","","","",""
"","201470","Shahico Services","29-03-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-03-2016","420","","","","","",""
"","202051","Shahico Services","16-10-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16-10-2016","4000","","","","","",""
"","203043","Shahico Services","29-08-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29-08-2017","4110","","","","","",""
"","204440","Shahico Services","31-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31-01-2019","4000","","","","","",""
"","203489","Shahico Services","25-02-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25-02-2018","320","","","","","",""
"","204166","Shahico Services","27-09-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27-09-2018","1300","","","","","",""
"","204244","Shahico Services","31-10-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31-10-2018","480","","","","","",""
"","201636","Shahico Services","23-06-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-06-2016","870","","","","","",""
"","203512","Shahico Services","03-03-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03-03-2018","139","","","","","",""
"","203588","Shahico Services","19-03-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19-03-2018","11","","","","","",""
"","204394","Shahico Services","20-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20-01-2019","110","","","","","",""
"","204401","Shahico Services","23-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-01-2019","140","","","","","",""
"","204402","Shahico Services","23-01-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23-01-2019","20","","","","","",""
